word	description
OPINE	Express your view
AWARE	Wide-awake.
STOMP	Step (on)
SIEVE	Colander
DISCO	Village People's genre
RATTY	Unkempt and run-down
ELATE	Make pleased as punch
SENSE	General opinion of a group.
ATTAR	Flower perfume
ELITE	Type of typewriters
SIREN	Part for Theda Bara
PREEN	Congratulate oneself for achievement
ERROR	Flub at Fenway
LONER	Many an introvert
DRYER	53-Down product
HEMEN	Rugged fellows.
EROSE	Uneven, as a leaf's edge
SWOON	Can't stay on one's feet, in a way
SCARE	Artful deception
ELOPE	Run off to the justice of the peace
NEVER	When the Eagles last won the Super Bowl (wordplay)
ERROR	Sinful action admitted by terrorists
UPSET	Turn over. 
OTTER	Furry fisherman
HOTEL	Setting for many a convention
ARMOR	Bucklers, helmets, greaves, etc. 
ELITE	Former Ford & late Lotus
UVULA	Pendant in the throat
ENTER	Drivethrough sign
DREAD	Fear of onset of darkness? Study needed
ARENA	Portland's Rose Garden, for example
ERUPT	Break out
ATTAR	Flowery perfume ingredient
OTTER	Mink's cousin
ELOPE	To depart suddenly with pen and name a lively novelist
ADDER	Beginner in math.
WIRER	Lighting pro
ATTAR	Perfumery supply
SIREN	Loud warning
AMUSE	Cause merriment. 
EYRIE	One spelling for a condor's home
EXERT	Use muscles 
CELLO	Viola's big sister
EROSE	Irregular as a leaf edge.
BUYER	Store official. 
REATA	Cowhands catcher
OBEAH	Magic ritual
RELIC	Something old.
EIDER	Source of soft feathers
SENSE	Meaning of a word or expression
LEDGE	Urban pigeon's perch
MURAL	Orozco painting eg
DOTER	An individual very keen on taking note in staff turnover
SIREN	Sound of warning
ARENA	Battleground.
ERROR	Conclusion of movie, Three Kings, skirting over inaccuracy
WHELP	Young dog
TENOR	Range of some saxophones
LEAVE	French
GROWL	Mushroom that's left below bark
OTTER	Beaver's cousin 
NAVEL	Variety of orange
ABOMA	S.A. serpent 
ETUDE	Liszt transcendental piece
GOOSE	Honker in a 2019 video game
SLATE	Convention decision
ARROW	Cupid's weapon 
LEVEL	Do ones  best
LEARY	Sex&Drugs&Rock&Roll star and creator Denis
CHESS	Game where the ends of the answers to starred clues are commonly heard
ERECT	Upright, as posture
ARROW	Archery need
ERECT	Standing
AMATI	Violin of value.
ELOPE	Marry on the run.
RESET	Change the font of
ELOPE	Do without I do
RESIN	Check around the front of son's gum
LEAVE	Shore time for a sailor
PHLOX	Showy plant
SNEER	Sniff one's nose
ERROR	Computer's "does not compute"
EMEER	Muslim prince Var
LINEN	Thread from flax
TEPEE	Plains native American tent
LAYER	Covering hen
ELOPE	Opt out of the local union (wordplay)
ELATE	Flush with success
IMBUE	Fill, with colour or feeling
SENSE	Discernment to think about conflicting directions
ERROR	Field trip (wordplay)
BASIS	Support
ENTER	Sandman
AGREE	Mutant eager to concur
EDGER	Suburbanite's tool
ARMOR	Battle dress.
DREAD	Horror of locks (wordplay)
ESSAY	Initial and tentative effort.
ALLAY	Quiet
CANIS	Jackal's genus
UVULA	Palate section 
SIREN	Singer in the "Odyssey"
ARMOR	Jousters protection
AISLE	Frequent flyer's choice, perhaps
ENTER	Gain acceptance
THERE	When repeated a calming word
ELOPE	Get up and go
ORDER	Drivethru decision
DISCO	Saturday Night Fever theme
TWEED	Coarse cloth
LOPER	Trained horse 
SUMAC	Member of the cashew family
RETIE	Bow over
LEARN	Be successfully educated
SHEEN	Apocalypse Now actor
LAYER	Replacing early bird
DRYER	Lint locale
MISER	Marner for one
HERON	Bittern or boatbill
TREAD	Walk on
SIEVE	Kitchen aid.
ELOPE	Take off 
ERROR	Baseballer's nightmare
OTTER	Lutrine creature
LEARN	Alanis Morissettes You
RELAX	Slacken. 
DISCO	Boogie, Bee Gees-style
LEAVE	Sprout, as a tree.
AMATI	Dear old violin
EVENT	Track-meet segment
RESET	Put in a new place. 
AMUSE	Make mirthful. 
ARROW	Shaft
SIEVE	Kitchen item. 
URINE	Sample stuff
CRUSH	Finding Nemo turtle
GAMIN	Saucy charmer
EATER	Little Miss Muffet.
CROWD	Fight watchers
EXERT	Put out
INERT	Still missing Sunday supplement
SENSE	Common or horse
HELLO	What have we here (wordplay)
HEMEN	Western heroes, for instance.
ORATE	Captivate the crowd with words
ENTER	Door's open!
RIVET	Bit of bridgebuilding hardware
OTTER	Certain fur
ARMOR	Tanks, etc.
ELOPE	Marry on the run 
RATTY	Moth-eaten
LEAVE	Military vacation
ENNUI	What a bore for you to be in nine in France!
STALE	Done to death
GLADE	Woodsy area
OLEIN	Liquid glyceride
CLING	React to some static
ARROW	Detour indicator
AWARE	Salvador's 8th album
AGREE	Concur and get on without hollow remorse
ERODE	Chip away at
RIATA	Cowpokes need
ABOMA	S American snake
MERGE	Become absorbed.
ENDUE	Clothe
CURSE	Say "@#$%^!"
TENOR	General meaning.
LEAVE	Hit the road
ELOPE	Skip most of the wedding planning
COULD	Was able. 
ERODE	Wear, as by wind
PIPIT	Long-tailed songbird
UPSET	Disconcert
IMAGE	Spindoctors concern
ELOPE	Run to Gretna Green
EMAIL	Latterday letter
OILER	Earl Campbell, for most of his professional career
ERODE	What cliff faces gradually do
ARMOR	Medieval protection
RESOW	Seed once more
ELITE	The font and also the Alisters
ARMOR	Jouster's defense
TUNER	Radio dial. 
AGREE	Go along (with)
LEAVE	Buzz off
OREAD	Hellenic haunter of hills 
VILLA	SECOND PART OF 8
BESET	Under attack
REATA	Vaqueros item
RISER	One is vertical in flight
PRINT	Lithograph, e.g
ELOPE	European turns to Spain for escape
SCARE	Daunt
SENSE	Perceive.
DISCO	s music fad
ELITE	A-list members
ARROW	The CW spun off "Legends of Tomorrow" from it
EXERT	Apply to take the pee out of pundit
ISLET	Safety zone for pedestrians, in England.
BATON	Stick for conducting
EMAIL	Major cause of the Postal Service's dwindling revenues
EXERT	Use elbow grease
EVADE	Dodge or equivocate
SPARE	Ten pins in two balls
DRYER	Beautician's purchase
SONAR	Radars underwater counterpart
RETRO	Prefix with rocket 
OTTER	Certain Thames swimmer
VALET	Hotel service
RESET	Data-clearing button
LEARY	'60s counterculturist Timothy
SPASM	Flurry of activity
CANIS	Major or minor constellation
UDDER	Elsie's appendage
OTTER	The Seattle Aquarium's Edwin, for example
ENTER	Key hit by the right hand
SNORE	Insomnia cause
ELOPE	Sneak off to a J.P. 
CHESS	Deeper Blues game
DRYER	Alternative to a clothesline
ARMOR	Gladiator's defense
OUTER	Space or Banks 
PIPIT	Songbird with streaky brown plumage
NERTS	Slangy word of disgust
OVOLO	Quarterround molding
EMEER	Arabic title. 
ENTER	Participate in, as a contest
RIMER	Poetaster. 
LONER	TV role
COULD	Was capable of
SIREN	Creature depicted on a Pumpkin Spice Light Frappuccino Blended Beverage
ARMOR	Galahad's strong suit (wordplay)
MONEL	Nickel and copper alloy
SCARE	Hiccups cure, perhaps
ADDED	Like free shirt wCD
NERTS	Shucks
OPINE	Editorialize
SOBER	Unaffected by drink
AMUSE	Slay, say
ENTER	Step onstage
MANSE	Church abutter, maybe
AMATI	Violin that could cost you around half a million
EVADE	Dodge lady about now
LEDGE	Dove's perch
SWEAT	Kind of shop
INURE	Accustom
DENSE	Hardly qualified to be a rocket scientist
RESET	Fixed again. 
TENOR	Campora or Vinay. 
THERE	When repeated, a calming expression
RAISE	Build.
VILLA	Borghese or dEste
EMAIL	File with an envelope icon
LEVEE	River's border, sometimes
LEASE	Auto dealership offer
ERROR	Something to beg pardon for
OTTER	Fur animal. 
PLEAD	Argue a case.
DREAD	How one may fear having Father round about
ELUDE	Avoid artfully
AROMA	Sweet scent. 
SIREN	Certain wail
SENSE	Common asset (wordplay)
ARMOR	Knight's 'suit'
OVULE	Embryosac encloser
CHESS	Petrosian's forte. 
AMATI	Gentleman from Cremona. 
EDGER	Gardener's implement
ERROR	Slipup in the outfield
ARROW	ONE WAY sign, essentially
OTTER	Aquatic animal of type that enjoys river, first of all
RORAL	Dewy, old style.
ARMOR	Plate mail, e.g
LONER	See 91 Across
OTTER	Wolverine's playful cousin
ARARA	Large parrot.
ARMOR	Protection 
RICER	Gadget for avoiding lumpy potatoes
LONER	Solitary-type person
AMATI	Old violin
CLOAK	Inches of Blood The Phantom of the Crimson
SIREN	Risen like Lorelei
ERODE	Wear over time
ARENA	Disney on Ice venue, often
ARMOR	Body suit (wordplay)
SENSE	See or smell
SENSE	Physical faculty
SENSE	Common attribute
SNORE	Saw some wood say
ENTER	Metallica  Sandman
EDGER	Turf-cutting tool. 
UPEND	Turn topsy-turvy 
LEVEL	Horizontal
CALIF	Head of a Moslem state
CRUSH	Rush-hour phenomenon. 
TENOR	General direction
SIEVE	Size discriminator
ARROW	It caught Harold's eye
ARMOR	Jousting gear
PURIM	Jewish festival. 
UPSET	Unexpected loss 
AMATI	Cremona violinmaking family name
ARARA	Tropical bird
LIMIT	Restrict - term
NEVER	Negative adverb
ENTER	Get admitted
SIREN	Warning about wrong packaging
CROON	Hum
PILOT	One trying to avoid a banking crisis (wordplay)
ARENA	Ring ... or sphere
FRIES	Sonic side
INLET	Firth, e.g
OILER	Tank ship
ERROR	Runtime
UPSET	Like some stomachs and elections
ARROW	Missile for Powhatan
ARENA	Scene of combat in an era that was backward
ERODE	Lose as power
CLING	Hold tightly to
CRUSH	Squeeze - infatuation
ERECT	Before one is on one's feet, see tea is there at last
OLDER	Not so fresh 
THINE	Yours, poetically 
LEARN	Get knowledge from student with merit
TROUT	Schubert work; fish
CELLO	Many a quartet's bottom line
INLET	Strait entry
AROMA	Oftheavenly scent
ATTAR	Essential oil from petals 
DELAY	117-Across downer
SENSE	Common thing (wordplay)
EROSE	Jagged. 
FROSH	H.S. newbies
ENTER	Write in.
ALLAY	Alleviate (hunger)
SIEVE	Colander's cousin.
CELLO	Related to fiddle that has nothing to do with what's in Mountjoy
ELITE	The flower
UNTIE	Loosen, as a bow
AROMA	Huisache feature
ARROW	What's the point to one-way streets or war (wordplay)
